Date,Open,High,Low,Close
5-November-2001,822.52,827.83,817.36,820.29,
6-November-2001,821.01,836.56,821.01,832.62,
7-November-2001,833.85,842.46,818.46,819.85,
8-November-2001,822.48,830.54,818.64,828.69,
9-November-2001,830.55,836.79,830.55,833.49,
12-November-2001,834.83,841.74,834.78,838.90,
13-November-2001,837.64,840.02,828.45,833.36,
14-November-2001,835.12,845.86,835.12,844.85,
15-November-2001,846.32,865.36,843.22,864.07,
19-November-2001,869.50,897.71,869.50,891.02,
20-November-2001,895.93,902.99,878.59,880.63,
21-November-2001,880.86,891.67,878.00,887.43,
22-November-2001,888.53,907.79,888.53,894.63,
23-November-2001,895.76,906.74,889.98,891.85,
26-November-2001,894.95,917.10,894.95,915.08,
27-November-2001,925.61,931.45,909.82,912.42,
28-November-2001,911.21,918.19,904.27,907.66,
29-November-2001,906.63,906.63,896.33,903.07,
3-December-2001,905.21,912.68,901.88,907.69,
4-December-2001,908.27,925.45,908.27,920.95,
5-December-2001,926.07,954.27,926.07,951.48,
6-December-2001,959.92,982.32,949.01,952.99,
7-December-2001,955.35,966.51,954.91,957.93,
10-December-2001,959.91,969.71,955.48,957.92,
11-December-2001,956.80,968.33,948.07,949.37,
12-December-2001,953.38,965.51,948.79,951.88,
13-December-2001,952.44,960.91,917.99,941.62,
14-December-2001,941.36,941.36,927.67,933.34,
18-December-2001,935.02,943.39,918.46,926.13,
19-December-2001,927.26,930.04,903.19,905.34,
20-December-2001,903.75,912.43,895.50,909.02,
21-December-2001,907.10,907.10,888.90,898.18,
24-December-2001,897.61,905.80,880.56,899.78,
26-December-2001,899.13,909.94,882.74,884.78,
27-December-2001,884.94,887.43,862.15,864.54,
28-December-2001,868.31,884.02,858.41,882.74,
31-December-2001,884.45,905.32,884.45,903.19,
1-January-2002,903.27,917.14,897.53,900.66,
2-January-2002,901.79,912.68,901.61,907.87,
3-January-2002,911.00,920.84,910.52,919.56,
4-January-2002,923.06,943.60,923.06,938.60,
7-January-2002,940.57,955.33,940.57,946.62,
8-January-2002,948.10,957.21,942.02,952.60,
9-January-2002,953.45,958.84,937.23,940.05,
10-January-2002,939.33,940.74,928.49,929.97,
11-January-2002,927.68,933.20,905.52,922.50,
14-January-2002,924.72,949.52,924.72,940.74,
15-January-2002,940.39,943.98,927.26,930.70,
16-January-2002,933.03,940.47,925.47,933.78,
17-January-2002,931.61,951.33,923.46,946.68,
18-January-2002,948.19,951.66,932.39,934.93,
21-January-2002,934.44,941.97,931.74,935.83,
22-January-2002,936.44,940.34,932.02,933.24,
23-January-2002,933.11,938.46,931.24,932.69,
24-January-2002,935.38,940.25,926.45,928.07,
25-January-2002,929.21,930.89,921.16,922.91,
28-January-2002,924.62,931.46,916.36,917.13,
29-January-2002,918.13,921.12,915.21,917.46,
30-January-2002,914.53,914.56,906.70,913.56,
31-January-2002,915.91,927.06,915.91,923.52,
1-February-2002,928.43,937.16,927.71,929.51,
4-February-2002,930.89,937.18,929.19,930.80,
5-February-2002,931.02,938.75,927.62,937.29,
6-February-2002,944.86,983.73,944.86,982.71,
7-February-2002,987.23,996.68,970.13,972.51,
8-February-2002,973.41,987.28,973.41,980.97,
11-February-2002,984.31,1001.67,984.31,990.18,
12-February-2002,993.22,1002.41,985.01,989.06,
13-February-2002,990.81,1000.28,990.81,994.44,
14-February-2002,1001.01,1009.04,1001.01,1008.45,
15-February-2002,1010.02,1021.86,1010.02,1017.13,
18-February-2002,1020.44,1028.72,1010.70,1021.86,
19-February-2002,1024.27,1027.42,1006.67,1009.70,
20-February-2002,1002.96,1007.43,996.20,998.45,
21-February-2002,1002.19,1010.15,1000.70,1001.81,
22-February-2002,1000.87,1014.54,998.82,1013.73,
25-February-2002,1015.82,1016.67,1008.42,1013.62,
26-February-2002,1018.68,1039.75,1018.68,1037.35,
27-February-2002,1039.84,1051.69,1027.49,1032.53,
28-February-2002,1034.42,1043.12,985.02,990.48,
1-March-2002,989.67,1023.76,989.67,1021.03,
4-March-2002,1035.70,1041.47,1019.19,1022.58,
5-March-2002,1028.25,1038.30,1023.38,1025.26,
6-March-2002,1027.56,1032.50,1014.94,1023.51,
7-March-2002,1024.85,1040.18,1024.85,1039.95,
8-March-2002,1040.69,1043.04,1029.43,1032.61,
11-March-2002,1039.03,1039.03,1015.28,1017.74,
12-March-2002,1018.36,1018.36,998.52,1002.29,
13-March-2002,1000.10,1016.04,999.45,1010.34,
14-March-2002,1010.47,1015.77,1007.36,1012.74,
15-March-2002,1014.97,1025.25,1014.97,1022.38,
18-March-2002,1026.23,1033.76,1018.51,1021.49,
19-March-2002,1022.27,1025.26,1006.24,1007.52,
20-March-2002,1012.18,1015.19,1006.54,1012.78,
21-March-2002,1012.67,1013.32,1002.21,1003.63,
22-March-2002,1007.84,1007.87,996.75,999.02,
26-March-2002,999.60,1008.60,988.12,989.14,
27-March-2002,990.90,998.21,987.98,990.07,
28-March-2002,991.17,1002.03,991.17,995.44,
1-April-2002,997.99,1014.82,997.99,1007.74,
2-April-2002,1009.81,1021.33,1005.08,1007.54,
3-April-2002,1005.47,1005.47,994.25,996.17,
4-April-2002,997.67,1015.75,997.67,1014.02,
5-April-2002,1016.18,1022.82,1011.43,1012.48,
8-April-2002,1013.66,1020.38,1006.03,1006.69,
9-April-2002,1007.28,1011.14,996.39,1000.70,
10-April-2002,1001.45,1010.60,1000.21,1008.83,
11-April-2002,1010.74,1021.54,1010.74,1014.51,
12-April-2002,1013.67,1022.09,1012.30,1016.72,
15-April-2002,1017.94,1022.00,1002.87,1004.14,
16-April-2002,1003.88,1005.98,992.76,993.44,
17-April-2002,1004.43,1009.50,997.88,1000.21,
18-April-2002,1001.86,1010.73,998.96,1002.58,
19-April-2002,1000.00,1002.51,976.49,977.67,
22-April-2002,977.94,982.76,967.72,980.03,
23-April-2002,979.20,985.48,977.69,981.98,
24-April-2002,984.40,989.49,983.65,986.61,
25-April-2002,988.89,989.80,969.24,971.30,
26-April-2002,972.57,979.93,971.55,974.25,
29-April-2002,974.41,974.41,956.61,957.59,
30-April-2002,958.25,970.24,958.25,969.55,
2-May-2002,976.34,983.13,975.60,977.22,
3-May-2002,976.32,979.57,973.16,978.41,
6-May-2002,978.81,982.94,978.05,981.97,
7-May-2002,979.70,989.80,977.97,989.28,
8-May-2002,992.08,999.40,992.08,993.24,
9-May-2002,1001.85,1006.75,998.65,1002.90,
10-May-2002,1001.46,1002.30,988.67,992.80,
13-May-2002,994.14,998.12,993.27,996.02,
14-May-2002,999.08,1001.53,990.84,993.36,
15-May-2002,994.71,997.88,980.74,984.76,
16-May-2002,986.93,987.14,970.00,973.53,
17-May-2002,974.70,977.42,959.76,970.15,
20-May-2002,972.58,977.09,952.44,954.20,
21-May-2002,948.86,948.86,911.97,931.48,
22-May-2002,931.16,933.85,916.84,930.46,
23-May-2002,932.96,932.96,914.27,916.26,
24-May-2002,929.68,957.93,929.68,955.93,
27-May-2002,960.07,963.01,945.78,955.61,
28-May-2002,952.26,952.26,928.85,929.71,
29-May-2002,931.83,939.96,920.65,934.82,
30-May-2002,935.49,946.06,926.38,928.82,
31-May-2002,929.75,930.34,917.12,926.09,
3-June-2002,935.81,944.16,935.19,938.73,
4-June-2002,937.42,946.32,937.42,945.46,
5-June-2002,948.61,963.01,948.61,959.67,
6-June-2002,965.88,967.31,951.16,958.76,
7-June-2002,955.34,955.34,941.21,944.74,
10-June-2002,950.36,965.75,950.36,963.85,
11-June-2002,981.63,989.30,977.18,987.96,
12-June-2002,987.30,993.13,983.63,985.66,
13-June-2002,989.71,994.14,977.69,978.72,
14-June-2002,979.34,984.14,976.56,981.88,
17-June-2002,990.97,991.24,982.50,983.38,
18-June-2002,986.63,992.51,970.42,970.89,
19-June-2002,971.50,977.40,955.40,959.33,
20-June-2002,954.84,967.20,954.59,963.63,
21-June-2002,964.38,965.31,956.36,958.90,
24-June-2002,958.57,958.97,951.95,956.99,
25-June-2002,956.42,960.36,947.15,953.14,
26-June-2002,948.33,949.55,941.25,942.48,
27-June-2002,946.33,952.75,944.51,950.51,
28-June-2002,954.99,959.33,951.86,957.20,
1-July-2002,959.71,970.51,959.71,969.63,
2-July-2002,966.02,971.38,965.83,967.41,
3-July-2002,966.41,973.61,965.95,970.00,
4-July-2002,974.05,976.74,969.64,970.58,
5-July-2002,971.95,977.02,969.06,974.29,
8-July-2002,976.53,983.85,976.35,979.82,
9-July-2002,979.78,983.11,978.57,980.48,
10-July-2002,982.20,985.02,970.95,972.22,
11-July-2002,969.17,970.53,958.67,959.31,
12-July-2002,962.59,969.43,960.92,963.10,
15-July-2002,964.10,964.49,949.56,956.40,
16-July-2002,956.41,959.37,941.55,942.67,
17-July-2002,943.28,946.22,932.26,939.54,
18-July-2002,943.19,952.09,942.39,951.00,
19-July-2002,947.20,950.86,945.00,946.03,
22-July-2002,939.18,939.18,921.43,922.90,
23-July-2002,918.76,935.05,918.09,934.22,
24-July-2002,931.69,931.69,916.68,917.31,
25-July-2002,928.46,933.56,912.50,913.97,
26-July-2002,909.89,910.88,888.76,889.74,
29-July-2002,892.38,892.38,865.84,885.12,
30-July-2002,888.01,898.40,869.69,872.35,
31-July-2002,868.90,876.46,856.18,873.61,
1-August-2002,875.77,882.53,868.61,871.42,
2-August-2002,868.36,872.17,859.79,870.92,
5-August-2002,873.79,880.00,869.82,878.17,
6-August-2002,873.75,884.43,870.31,883.14,
7-August-2002,888.29,893.47,881.57,882.42,
8-August-2002,883.64,884.76,865.26,866.28,
9-August-2002,872.29,876.51,863.38,875.18,
12-August-2002,874.94,884.38,874.47,883.02,
13-August-2002,883.09,895.48,883.09,889.25,
14-August-2002,887.78,889.15,882.27,885.75,
16-August-2002,888.04,894.81,888.04,893.55,
19-August-2002,895.03,902.82,893.91,897.24,
20-August-2002,899.61,906.29,898.03,904.64,
21-August-2002,903.53,910.10,901.85,903.69,
22-August-2002,906.26,909.82,898.41,899.42,
23-August-2002,899.90,908.06,899.64,907.31,
26-August-2002,906.64,913.64,905.61,910.72,
27-August-2002,911.74,915.55,899.17,900.29,
28-August-2002,900.26,901.65,896.37,900.59,
29-August-2002,900.50,901.21,894.47,897.79,
30-August-2002,897.31,917.87,897.31,916.72,
2-September-2002,924.42,928.48,915.13,916.75,
3-September-2002,918.15,919.54,906.18,907.58,
4-September-2002,902.49,913.81,899.23,912.24,
5-September-2002,915.30,920.62,910.78,912.69,
6-September-2002,910.38,911.54,897.09,900.25,
9-September-2002,891.54,896.70,882.61,891.25,
11-September-2002,889.96,895.01,888.73,892.57,
12-September-2002,892.35,897.24,892.34,894.48,
13-September-2002,890.86,894.38,884.08,885.60,
16-September-2002,891.64,892.06,876.83,877.88,
17-September-2002,879.84,886.19,878.91,885.00,
18-September-2002,880.59,882.12,871.56,873.43,
19-September-2002,873.30,873.49,861.68,867.08,
20-September-2002,859.33,866.97,855.17,865.38,
23-September-2002,867.45,868.74,861.79,863.60,
24-September-2002,859.22,862.33,854.92,860.87,
25-September-2002,850.72,863.27,850.72,862.40,
26-September-2002,862.01,868.20,862.01,862.45,
27-September-2002,865.28,869.07,862.53,868.41,
30-September-2002,865.34,865.34,853.76,854.85,
1-October-2002,851.47,856.44,843.17,848.37,
3-October-2002,849.09,851.77,841.48,844.30,
4-October-2002,844.13,847.34,840.95,843.67,
7-October-2002,847.77,855.45,846.92,853.27,
8-October-2002,853.88,863.31,853.88,861.57,
9-October-2002,864.54,868.17,854.28,855.58,
10-October-2002,855.22,858.27,846.12,856.92,
11-October-2002,863.75,868.05,863.75,866.54,
14-October-2002,868.49,869.83,864.14,865.49,
16-October-2002,871.77,873.46,862.20,862.84,
17-October-2002,862.70,867.40,859.13,866.04,
18-October-2002,871.55,874.92,863.41,865.79,
21-October-2002,866.83,868.86,860.88,862.01,
22-October-2002,863.52,864.19,853.87,854.73,
23-October-2002,853.53,854.83,847.38,849.50,
24-October-2002,849.34,852.13,839.97,840.51,
25-October-2002,839.16,840.01,826.41,830.88,
28-October-2002,831.36,831.36,818.57,819.91,
29-October-2002,820.28,834.80,820.28,833.54,
30-October-2002,837.18,842.78,835.62,837.95,
31-October-2002,842.51,847.98,837.50,846.09,
1-November-2002,848.19,851.05,843.27,848.12,
4-November-2002,855.93,859.35,854.57,858.06,
5-November-2002,856.45,856.45,850.69,854.47,
7-November-2002,856.65,859.64,849.26,851.46,
8-November-2002,849.11,851.25,846.78,848.60,
11-November-2002,848.73,849.70,844.16,845.01,
12-November-2002,843.01,851.01,841.89,850.12,
13-November-2002,853.01,855.22,849.32,852.53,
14-November-2002,853.81,862.12,853.81,859.41,
15-November-2002,862.83,872.52,862.83,871.38,
18-November-2002,873.35,879.30,872.78,875.82,
20-November-2002,874.17,886.04,874.17,881.44,
21-November-2002,886.25,891.15,884.74,885.68,
22-November-2002,890.93,900.10,890.93,893.24,
25-November-2002,895.14,905.19,893.70,903.44,
26-November-2002,907.03,913.97,907.03,908.95,
27-November-2002,909.79,916.15,904.28,908.10,
28-November-2002,913.49,921.46,913.49,919.77,
29-November-2002,920.86,926.34,914.06,924.54,
2-December-2002,929.40,943.80,928.46,942.33,
3-December-2002,944.09,951.53,927.45,928.92,
4-December-2002,930.08,930.08,912.91,914.77,
5-December-2002,911.34,928.20,911.34,922.35,
6-December-2002,928.50,948.85,928.50,947.13,
9-December-2002,953.56,960.39,930.40,931.27,
10-December-2002,926.60,938.75,920.87,937.78,
11-December-2002,941.63,948.39,936.46,940.47,
12-December-2002,944.11,948.88,939.70,946.70,
13-December-2002,949.45,956.47,947.86,955.53,
16-December-2002,960.91,965.02,948.62,949.81,
17-December-2002,953.17,955.90,941.80,945.72,
18-December-2002,948.41,955.03,947.49,950.82,
19-December-2002,950.25,953.35,944.55,949.67,
20-December-2002,951.25,957.30,949.43,951.90,
23-December-2002,953.81,955.31,946.91,948.50,
24-December-2002,948.43,957.49,946.40,956.03,
26-December-2002,958.31,968.92,958.31,963.73,
27-December-2002,966.62,972.21,966.62,967.71,
30-December-2002,964.75,964.75,956.88,963.40,
31-December-2002,964.11,969.57,962.94,965.51,
1-January-2003,967.47,972.12,966.93,970.04,
2-January-2003,972.54,974.74,964.99,965.89,
3-January-2003,970.83,973.38,961.95,963.81,
6-January-2003,965.79,966.03,956.70,959.14,
7-January-2003,962.86,963.75,955.28,958.54,
8-January-2003,960.32,965.66,960.32,964.46,
9-January-2003,965.92,971.27,965.92,970.16,
10-January-2003,978.01,978.01,953.60,956.17,
13-January-2003,954.22,955.15,948.69,950.43,
14-January-2003,952.13,956.34,949.91,954.00,
15-January-2003,954.66,962.56,954.66,960.55,
16-January-2003,960.58,965.11,959.89,964.22,
17-January-2003,962.10,965.44,959.53,962.05,
20-January-2003,960.75,963.06,954.95,956.32,
21-January-2003,958.83,961.65,955.90,960.00,
22-January-2003,963.33,966.04,960.10,963.10,
23-January-2003,961.42,962.61,951.10,951.74,
24-January-2003,953.81,955.47,937.27,938.20,
27-January-2003,937.89,938.49,916.92,924.04,
28-January-2003,923.71,932.72,915.19,932.15,
29-January-2003,934.95,937.36,923.81,927.64,
30-January-2003,930.54,932.73,923.01,924.03,
31-January-2003,922.82,929.98,915.68,928.50,
3-February-2003,930.35,941.95,929.04,940.79,
4-February-2003,943.48,945.16,938.54,941.10,
5-February-2003,938.63,941.60,931.52,936.99,
6-February-2003,936.63,949.97,935.60,948.60,
7-February-2003,949.51,949.83,941.33,941.81,
10-February-2003,941.82,942.67,934.72,935.52,
11-February-2003,938.12,941.53,932.25,935.39,
12-February-2003,936.39,937.40,927.92,931.13,
14-February-2003,931.85,932.33,920.89,922.54,
17-February-2003,929.95,942.99,929.95,941.85,
18-February-2003,945.82,948.58,942.76,944.02,
19-February-2003,947.88,952.60,947.74,948.61,
20-February-2003,948.43,950.16,943.10,948.72,
21-February-2003,948.92,951.10,945.81,949.36,
24-February-2003,951.86,957.45,951.86,952.35,
25-February-2003,950.78,950.78,940.42,941.07,
26-February-2003,942.85,943.54,934.36,934.62,
27-February-2003,933.38,942.82,932.94,941.73,
28-February-2003,947.97,953.31,940.11,944.66,
3-March-2003,949.52,952.93,941.04,941.71,
4-March-2003,939.90,939.90,930.51,931.57,
5-March-2003,928.96,928.96,916.79,927.18,
6-March-2003,932.30,932.30,916.21,917.51,
7-March-2003,914.81,914.81,902.86,905.87,
10-March-2003,905.62,908.06,894.79,897.09,
11-March-2003,894.59,903.90,888.33,902.39,
12-March-2003,901.92,905.48,890.51,891.28,
13-March-2003,892.52,896.40,884.95,890.91,
17-March-2003,892.38,892.38,875.53,885.17,
19-March-2003,889.52,897.10,889.52,893.56,
20-March-2003,892.23,913.66,892.06,911.97,
21-March-2003,913.54,917.99,911.08,915.30,
22-March-2003,918.32,922.84,918.32,921.32,
24-March-2003,921.16,921.16,900.55,901.13,
25-March-2003,897.64,901.68,890.29,900.79,
26-March-2003,902.24,907.73,900.19,901.11,
27-March-2003,899.73,902.65,893.04,893.46,
28-March-2003,893.04,896.17,888.06,890.89,
31-March-2003,887.24,887.24,868.02,870.42,
1-April-2003,867.16,883.17,867.16,879.88,
